"id","sha1","rank","title","firstname","lastname","nation","wikidata","source"
212,"753e38dbddc4b0b0a1f4bcdf289e1c542d90e207",12,,"","Emon",48,,1
213,"686dac8376623eef1fc75f2f86a7f9d4934d069a",12,,"","Etienne",48,,1
214,"858f9e9727ce97d4259ea139caed55298f4a2644",12,,"","Euzenate",48,,1
215,"bbce15aa24c30be08e4f5d6efebdfdc70fbfd71c",5,20,"R.","Exelmans",48,,1
216,"43b7f34ead3d8f916178c4b6f21b2ffae96b4af0",10,,"S.G.","FERRIOR",47,,1
217,"7d33f9683bf150aca733d5607751c56c33c32319",10,,"","FRICCIUS",51,,1
218,"34a18b0501d9015895b497d3c334852d9a91be9f",12,,"","FRITZE",51,,1
219,"fc8ed8853013844e24dd3d3ce38bee4e8a204a04",9,,"W.","FULLER",47,,1
220,"8bd55be5fedb53d385a1335d8d6f3491222930b7",7,,"","Fantin des Odoards",48,,1
221,"c9dc3618e8bbbacf0794914526dff6839e23a0a7",8,19,"","Farine",48,,1
222,"85bf6dce9efaa573eabc0c075e473b047419fd0a",7,,"","Faullin",48,,1
223,"8196b452f566d9ac09dbacd7712b23987c0e5e1e",12,,"","Fenouillat",48,,1
224,"558f750a3c50d7ecde93dd377f7150192d2042b0",7,,"","Ferousat",48,,1
225,"9f2e3d83ce00a423dcdd4761458a769764cee55f",12,,"","Ferrey",48,,1
226,"37153aafc450fa3cb1b2633d51d4b366e3b6cf61",12,,"","Fivel",48,,1
227,"e0886970d514902499655d8e6cda693f15c1d54b",12,,"","Foliot",48,,1
228,"a885d30052f8c446a5fff6806408f6a9445a92b8",7,,"","Fortier",48,,1
229,"68387b475c8cae2705b2f064c71d672b44b64155",15,,"","Fortin",48,,1
230,"e305b4f422083fef154bd92df5978a7eccd87b6c",8,20,"","Foulier de Relingue",48,,1
231,"a2a358f61a54e377ccfd60399f7e2cefe238bfa0",5,20,"","Foy",48,,1
232,"592a31305821eb9e05b0c334bd654e7624750374",12,,"","François",48,,1
233,"073aff920650adef714101cde1da72c461146853",12,,"","Friant",48,,1
234,"a1bb90d82858035d08a7b0e41786bb9da29247f5",5,20,"","Friant",48,,1
235,"38aef86ffaa921e77dc899b1dc7e79f0b1bdc381",7,,"","Froment",48,,1
236,"21c55ddb1e6ede7516f87b171399c0bdc1379260",9,18,"Robert","GARDINER",47,,1
237,"a0143202bf14c21017131f780863e4d57e5944c4",12,,"","GESENIUS",47,,1
238,"2ca1093fd318713f7352a2bde8628875da9ddebd",12,,"A.R.","GEY",52,,1
239,"fa62bb75d682bda75dd21027fc015bc5f5f76666",13,,"","GIESE",51,,1
240,"f331402ebeb062cf5274db24bb64022d10d90cdf",9,,"Ch.","GOETHALS",52,,1
241,"e3116d182e4b64caa8e959882f0913e665d1a9b1",9,,"C.","GOLD",47,,1
242,"c6bce5670aa82487d587d0940ad7822b5eb01073",6,18,"Colquhoun ","GRANT",47,,1
243,"459a1ea884a5c82a3b21235536816b8cbaeab114",9,,"","GROTE",49,,1
244,"cdd73905796e6f7dcd71f928822a7a29e3948c2f",9,,"J.W.","GRUNEBOSCH",52,,1
245,"a1d3bdbfec3946d7097559f013da7530cfe732b7",9,,"F.A.","GUICHERIT",52,,1
246,"129e97d2e02ee66c098c9019a3a8b972e5eaaf47",4,21,"","GUILLAUME de Prusse",51,,1
247,"84c8abb03f44b747d0e964db6d224e167aea2934",6,,"C.A. ","GUNKEL",52,,1
248,"d29af38d07bf9f9c98e409f51da35ac70fab3e73",7,23,"","Galté",48,,1
249,"d012d00b96ee4dc7748ed9f30f91ecb54cd3de56",7,,"","Garavaque",48,,1
250,"74214731d18337c3626340be743d843bfd147ed6",8,19,"","Garbé",48,,1
251,"6c96f6da10270acbda124644bcb7b1e9076add72",7,,"","Garnier",48,,1
252,"6abf6307a29888f1c7733ab034d5f04c3e3a3b04",7,,"","Gaudin",48,,1
253,"2e0b02fc0ee4c71e538cc352403fa44d6de0300f",8,19,"","Gauthier",48,,1
254,"9ae4f239583eb5a53dc758031fa0fcdec8514db2",12,,"","Gayat",48,,1
255,"b47cf73129e2ad8cd8dcee9c11a7db296f7939b5",15,,"","Gemeau",48,,1
256,"b6132afdefae8e25d49b749242ec68b3787d3f33",8,19,"","Genoult",48,,1
257,"07436f0a58c1faef4c09b043e91476facbf8488e",7,,"","Genty",48,,1
258,"eb6b107c8a926ebfdb18fe5237afff5e1313d816",5,19,"","Girard",48,,1
259,"12c10fc1a38d7255536fa91c8cefb7efb0fb3daa",7,,"","Giraut de Coehorn",48,,1
260,"1fe9c6856028a62de7df370e220acfaf5a56a0c2",12,,"","Glautier",48,,1
261,"e918600dae706dc1ed7cdb7b69d69063e8f35ac9",7,,"","Gobert",48,,1
262,"1b6bc1945fdb4ff1c8300d65c695771d4af95cae",8,,"","Gobrecht",48,,1
263,"9f8e90bc3eaf6af1bfb76d478029efc0bdd2896d",12,,"","Godet",48,,1
264,"d57296ef01ac9213b9c426273f29128788f1dde7",7,23,"","Gordon",48,,1
265,"6dc4feea4b4797a314568fa65f79c4de218482e2",12,,"","Gothereaux",48,,1
266,"3e9d5924567e05a2d4463a8837361a7973112f8a",7,,"","Gougeon",48,,1
267,"800aabbbbed861050bf5af3875acf043408029d4",7,,"","Gougeon",48,,1
268,"bdda9f7d3150ccffa881c0700774d9cb69e73a1a",7,19,"G.","Gourgaud",48,,1
269,"2c5cdadf29c3b300068a6798dbf2aa747f46f068",7,20,"","Gramont",48,,1
270,"96e30077a31c9c580b58a5b8c42b6ee4694a1068",7,19,"","Grandjean",48,,1
271,"11ebc4a5a882e5eb3143a478edf9a4c8363bac57",8,,"","Grenier",48,,1
272,"1bc1085f00a23eb1e49b8c9a3d90d65bb27fc3a6",12,,"","Gronnier",48,,1
273,"11207a43946be4515d7f46fc2a0c553ee97ad408",7,,"","Grouard",48,,1
274,"c540c57b0cc236916d316b3deafd0c26aab583bc",7,23,"","Gueurel",48,,1
275,"bd30b057e62a681938f7f9e91697db50889ca3f0",8,19,"","Guitton",48,,1
276,"a933085a14a2a36c02229dcbb80db4f5ac63114f",8,,"","Guye, marquis de Rio-Milanos",48,,1
277,"622c1828ce6eb5e98c7e0afd2e67c0bd4d7cb665",5,19,"","Guyot",48,,1
278,"8b78d7e2920e388f94b66f3bf4e5ede36c1aef93",12,,"","Guérin",48,,1
279,"46e1ed5aecfb9572d107a9bc1f9dafeb29b78f81",5,20,"","Gérard",48,,1
280,"f1cd49cbf5295a5851e9bcd53bf3dde9b7618697",5,18,"Colin","HALKETT",47,,1
281,"3b9ba40de3b6f02527444b746b2ad8cf4b3148d5",7,,"Hugh Wm","HALKETT",49,,1
282,"b19a5a8252fc9f80f9d9496b402e68ac478d7d36",9,,"J.M.","HAMERTON",47,,1
283,"b5398eb09e2b7e9ef1ad5d77b3a6a636e05db815",9,,"J.J.","HAMILTON",47,,1
284,"9e71a12073962e7e5f57a13e3d7f528721e117b2",10,,"","HAMMERSTEIN",49,,1
285,"0ff068d45edfd0355655bd2d05012bd271034c8b",10,,"","HAMMERSTEIN",49,,1
286,"4b8be603be46cf75129aa153fa0ce1f8ac668ce2",12,,"J.","HARE",47,,1
287,"da2ea4c801797e538aa8eb3c483fe655da9d48c1",9,,"G.","HARRIS",47,,1
288,"e125e8230287407658d986e7dcda3b148f81687a",9,,"J.","HAWKER",47,,1
289,"0eb72aed15fcd54450f6adea1c836cccadaf9439",9,,"James","HAY",47,,1
290,"25a7716a3fb28841f2ae6e6c9061c962b9efbed9",10,,"G.","HECHMANN",52,,1
291,"77470b4425227d0505ba5832260262c3cae050ae",12,,"","HEINEMANN",50,,1
